date,INFLOW-SR_BER,INFLOW-SR_BLB,INFLOW-SR_BUC,INFLOW-SR_BUL,INFLOW-SR_CFW,INFLOW-SR_CLE,INFLOW-SR_CLK_INV,INFLOW-SR_CRW,INFLOW-SR_DNP,INFLOW-SR_FOL,INFLOW-SR_GNT,INFLOW-SR_HID,INFLOW-SR_HTH,INFLOW-SR_ISB,INFLOW-SR_LL_ENR,INFLOW-SR_LVQ,INFLOW-SR_MCR,INFLOW-SR_MIL,INFLOW-SR_NHG,INFLOW-SR_NML,INFLOW-SR_PAR,INFLOW-SR_PNF,INFLOW-SR_RLL_CMB,INFLOW-SR_SCAGG,INFLOW-SR_SCC,INFLOW-SR_SHA,INFLOW-SR_TRM,INFLOW-SR_TUL,INFLOW-SR_WHI
1924-08-31,0.0,0.0,0.0,5.58,0.387,2.07,12.7359,5.8500000000000005,0.0,1.53,5.94,0.0,1.98,5.3100000000000005,0.18,0.0,1.62,47.16,0.0,1.26,0.36,5.8500000000000005,1.26,0.81,0.27,150.3,0.81,0.0,0.0
1924-09-30,0.0,0.0,0.0,5.58,0.198,1.8,8.973,6.03,0.0,1.71,2.79,0.0,0.0,4.95,0.09,0.0,1.08,62.82,0.0,0.45,0.81,4.05,0.99,2.61,0.0,146.70000000000002,0.7200000000000001,0.0,0.0
1924-10-31,0.0,0.7200000000000001,0.0,17.1,0.135,13.95,11.475,7.02,2.3400000000000003,11.52,2.16,0.0,2.8800000000000003,6.84,8.01,0.0,4.23,27.72,0.0,5.8500000000000005,5.4,6.930000000000001,3.15,3.33,0.54,181.8,2.43,0.0,7.11
1924-11-30,7.02,6.75,0.7200000000000001,24.93,0.045,83.52,9.5292,7.65,11.34,23.67,2.16,0.99,14.4,12.78,17.46,0.0,19.35,33.57,2.25,21.6,18.18,18.63,5.04,11.61,4.23,288.90000000000003,9.81,0.333,16.290000000000003
1924-12-31,22.14,28.53,1.1700000000000002,35.91,0.7200000000000001,57.87,43.2378,8.19,14.58,31.86,2.3400000000000003,0.99,15.48,16.740000000000002,16.2,0.009,20.52,34.830000000000005,7.2,27.0,22.05,25.290000000000003,9.63,16.02,4.680000000000001,262.8,9.27,1.089,22.95
1925-01-31,8.82,21.6,1.4400000000000002,44.55,0.468,61.29,24.7365,7.74,17.46,32.76,2.16,1.26,12.06,16.2,10.53,0.0,19.08,36.27,5.4,26.73,21.42,24.93,10.89,16.740000000000002,5.3100000000000005,279.0,9.9,0.81,20.340000000000003
1925-02-28,180.63,152.19,14.670000000000002,207.9,3.78,249.21,276.7185,8.01,132.66,244.89,1.98,13.5,35.82,23.67,38.97,0.036,95.4,82.53,70.2,123.12000000000002,102.06,51.75,56.25,15.12,10.62,1177.2,18.9,10.548,103.86
1925-03-31,23.040000000000003,34.92,7.56,102.06,1.656,141.39,43.0713,7.56,71.37,114.93,2.43,7.65,40.86,28.17,38.34,0.009,69.75,73.17,10.26,106.38,76.05,73.35000000000001,24.66,14.58,11.7,472.5,24.75,1.539,39.6
1925-04-30,25.92,56.52,11.16,153.63,2.178,293.31,80.67150000000001,7.38,145.8,249.03,5.3100000000000005,13.5,95.49,50.76,76.23,0.009,162.0,170.46,32.85,224.37,154.71,168.84,28.53,4.05,18.45,729.9,49.5,4.932,55.35
1925-05-31,18.540000000000003,60.12,4.5,135.9,0.6930000000000001,246.06,73.3716,8.91,99.9,274.05,17.55,8.64,257.04,91.8,128.52,0.0,234.9,187.38,5.3100000000000005,303.75,222.21,355.95,13.23,2.43,14.22,403.2,83.52,0.801,36.0
1925-06-30,4.5,15.93,1.1700000000000002,46.98,0.6120000000000001,105.03,19.4517,12.33,31.86,150.75,24.840000000000003,5.04,206.91,86.67,78.57,0.0,132.3,181.26,1.35,155.43,116.46,263.43,5.3100000000000005,0.63,7.38,258.3,57.87,0.198,9.63
1925-07-31,0.54,4.95,0.09,19.26,0.5040000000000001,29.97,20.326500000000003,13.95,12.51,44.73,15.840000000000002,0.63,70.28999999999999,52.65,17.91,0.0,44.01,139.32000000000002,0.18,50.85,17.82,107.1,3.87,0.09,2.3400000000000003,177.3,18.72,0.018,4.59
1925-08-31,0.0,2.07,0.0,14.670000000000002,0.459,10.08,17.8515,9.18,0.0,11.16,6.39,0.18,16.56,23.31,5.4,0.0,13.68,94.95,0.0,14.94,1.89,39.87,3.6,0.18,1.08,160.20000000000002,5.4,0.0,2.79
1925-09-30,0.0,1.1700000000000002,0.0,12.24,0.522,14.4,12.5397,7.29,0.27,7.11,2.97,0.09,3.6,10.26,1.4400000000000002,0.0,4.14,80.01,0.0,7.02,2.8800000000000003,11.61,3.15,1.08,0.54,167.4,2.97,0.0,11.7
1925-10-31,0.0,2.25,0.09,15.75,0.333,12.24,6.561,8.55,0.0,10.44,2.25,0.27,7.65,11.61,6.48,0.0,7.11,66.24,0.09,6.48,3.69,16.02,3.24,3.33,1.26,199.8,4.680000000000001,0.018,4.23
1925-11-30,0.09,3.87,0.36,20.52,0.135,16.650000000000002,3.0303,8.19,1.53,12.96,2.3400000000000003,0.45,7.02,11.07,6.12,0.0,7.38,49.05,0.9,7.920000000000001,5.760000000000001,12.78,4.32,11.61,1.98,206.73,4.41,0.135,3.96
1925-12-31,0.9,6.75,0.7200000000000001,30.780000000000005,0.063,37.71,7.8606,8.01,6.210000000000001,20.97,2.52,0.63,11.7,13.14,11.7,0.0,10.62,42.21,1.71,12.06,13.5,16.02,6.48,16.02,2.7,226.35,5.67,0.261,8.64
1926-01-31,30.6,17.82,1.1700000000000002,30.69,0.5850000000000001,23.31,36.3852,7.65,6.3,16.470000000000002,2.3400000000000003,1.26,5.3100000000000005,10.89,5.67,0.009,8.55,37.53,1.98,11.7,13.32,10.8,7.74,16.740000000000002,2.25,217.53,4.32,0.306,9.45
1926-02-28,140.31,129.42000000000002,4.95,103.86,6.561,144.45000000000002,183.9321,7.829999999999999,62.55,87.66000000000001,2.07,5.3100000000000005,14.85,14.13,14.13,0.126,56.61,67.77,33.03,60.48,37.62,35.01,35.46,15.12,6.210000000000001,779.22,11.07,4.959,72.18
1926-03-31,12.15,22.86,3.6,89.91000000000001,0.09,118.8,17.4222,13.86,38.7,78.75,2.52,4.14,37.17,22.23,39.6,0.018,49.5,89.46000000000001,3.96,69.12,44.55,58.95,18.18,14.58,6.84,361.08,17.28,0.5940000000000001,28.44
1926-04-30,99.09,71.19,9.99,146.34,4.329,229.59,116.2557,9.72,96.3,194.58,5.58,14.31,151.74,59.4,98.01,0.027,195.48,209.61,12.24,184.41,123.57,260.1,27.27,4.05,32.4,470.25,57.330000000000005,1.845,28.89
1926-05-31,5.4,10.98,1.4400000000000002,63.81000000000001,1.314,83.16000000000001,12.6342,13.14,45.27,109.44,18.63,5.13,160.92000000000002,88.74,67.5,0.0,155.88,217.71,1.1700000000000002,119.79,85.14,338.04,7.65,2.43,4.23,243.72000000000003,64.17,0.18,7.74
