date,PMP_Banks-D800,PMP_Tracy-D701
1943-11-30,47.88514724616026,182.4557898721844
1943-12-31,188.86,219.3388700536084
1944-01-31,188.86,162.05963669609872
1944-02-29,269.0552968479142,233.25
1944-03-31,283.28000000000003,258.25
1944-04-30,296.6062501337678,249.92
1944-05-31,312.5590919716116,258.25
1944-06-30,270.0363076203833,249.92
1944-07-31,94.43,234.1006723806858
1944-08-31,94.43,201.79146723192656
1944-09-30,137.07,220.2769822134388
1944-10-31,202.4217863048964,186.62571369510363
1944-11-30,285.57096943046975,184.66636097091776
1944-12-31,188.86,248.5038700536084
1945-01-31,154.9116907610207,182.81961923897924
1945-02-28,383.81,233.25
1945-03-31,471.0,258.25
1945-04-30,387.357475118577,249.92
1945-05-31,316.39482998023703,258.25
1945-06-30,182.76,249.92
1945-07-31,238.7385,258.25
1945-08-31,134.2520263717115,258.25
1945-09-30,249.18298221343875,249.92
1945-10-31,235.22450000000003,258.25
1945-11-30,272.8382092297179,179.62157571712413
1945-12-31,466.0,258.25
1946-01-31,502.0,258.25
1946-02-28,334.2397850000001,233.25
1946-03-31,456.0,258.25
1946-04-30,365.53,249.92
1946-05-31,316.703829980237,258.25
1946-06-30,91.38,249.92
1946-07-31,107.17333046526625,258.25
1946-08-31,109.82702637171144,258.25
1946-09-30,274.46798221343875,249.92
1946-10-31,260.0775,258.25
1946-11-30,256.181830008478,180.05295493836414
1946-12-31,243.48787005360845,258.25
1947-01-31,183.3879217064526,157.01771498964612
1947-02-28,170.57999999999998,226.39229684791428
1947-03-31,236.07,206.764105
1947-04-30,218.131985,249.92
1947-05-31,205.7427187862231,258.25
1947-06-30,182.76,216.7647642481452
1947-07-31,94.43,197.98850000000004
1947-08-31,94.43,138.5564672319265
1947-09-30,97.83457084412564,245.73292915587436
1947-10-31,183.32091711108544,205.74107288891452
1947-11-30,169.08125164660188,169.87353330024015
1947-12-31,142.83432401226617,184.30354604134223
1948-01-31,159.15371364733025,144.54059635266972
1948-02-29,138.6916058226068,144.04117917739325
1948-03-31,210.44485607333863,186.6292489266614
1948-04-30,397.0,273.72
1948-05-31,250.4348299802372,258.25
1948-06-30,201.57004875278264,220.561
1948-07-31,142.61759377668437,258.25
1948-08-31,95.10062244691736,258.25
1948-09-30,224.07298221343876,249.92
1948-10-31,222.3677901606808,243.50570983931925
1948-11-30,193.28607872038975,174.2437062264523
1948-12-31,188.86,202.9058700536084
1949-01-31,153.42918790643728,139.0031220935627
1949-02-28,132.12374392214244,173.77804107785758
1949-03-31,434.0,282.84
1949-04-30,261.95098500000006,249.92
1949-05-31,232.73505633286567,258.25
1949-06-30,224.822762165838,106.20401075268816
1949-07-31,94.43,254.99624424638424
1949-08-31,94.43,148.9194672319265
1949-09-30,166.51293990394828,186.4000423094905
1949-10-31,179.9001118846742,66.95738811532578
1949-11-30,163.6537873963917,170.83399755045036
