link,i,j,k,cost,amplitude,lower_bound,upper_bound
SR_WHI.1923-06-30_SR_WHI.1923-07-31_5,SR_WHI.1923-06-30,SR_WHI.1923-07-31,5,-0.75584,0.99267,0.0,11.833
SR_WHI.1923-06-30_SR_WHI.1923-07-31_6,SR_WHI.1923-06-30,SR_WHI.1923-07-31,6,-0.75584,0.99267,0.0,11.833
SR_WHI.1923-07-31_SR_WHI.1923-08-31_0,SR_WHI.1923-07-31,SR_WHI.1923-08-31,0,-872.99346,0.98961,10.0,27.5
SR_WHI.1923-07-31_SR_WHI.1923-08-31_1,SR_WHI.1923-07-31,SR_WHI.1923-08-31,1,-6.31022,0.98961,0.0,75.937
SR_WHI.1923-07-31_SR_WHI.1923-08-31_2,SR_WHI.1923-07-31,SR_WHI.1923-08-31,2,-4.08032,0.98961,0.0,73.195
SR_WHI.1923-07-31_SR_WHI.1923-08-31_3,SR_WHI.1923-07-31,SR_WHI.1923-08-31,3,-1.91003,0.98961,0.0,4.868
SR_WHI.1923-07-31_SR_WHI.1923-08-31_4,SR_WHI.1923-07-31,SR_WHI.1923-08-31,4,-0.22297,0.98961,0.0,19.5
SR_WHI.1923-07-31_SR_WHI.1923-08-31_5,SR_WHI.1923-07-31,SR_WHI.1923-08-31,5,-0.22297,0.98961,0.0,19.5
SR_WHI.1923-07-31_SR_WHI.1923-08-31_6,SR_WHI.1923-07-31,SR_WHI.1923-08-31,6,-0.22297,0.98961,0.0,19.5
SR_WHI.1923-08-31_SR_WHI.1923-09-30_0,SR_WHI.1923-08-31,SR_WHI.1923-09-30,0,-865.63793,0.99058,10.0,27.5
SR_WHI.1923-08-31_SR_WHI.1923-09-30_1,SR_WHI.1923-08-31,SR_WHI.1923-09-30,1,-6.36728,0.99058,0.0,70.484
SR_WHI.1923-08-31_SR_WHI.1923-09-30_2,SR_WHI.1923-08-31,SR_WHI.1923-09-30,2,-4.20291,0.99058,0.0,75.089
SR_WHI.1923-08-31_SR_WHI.1923-09-30_3,SR_WHI.1923-08-31,SR_WHI.1923-09-30,3,-1.95562,0.99058,0.0,8.427
SR_WHI.1923-08-31_SR_WHI.1923-09-30_4,SR_WHI.1923-08-31,SR_WHI.1923-09-30,4,-0.28213,0.99058,0.0,19.5
SR_WHI.1923-08-31_SR_WHI.1923-09-30_5,SR_WHI.1923-08-31,SR_WHI.1923-09-30,5,-0.28213,0.99058,0.0,19.5
SR_WHI.1923-08-31_SR_WHI.1923-09-30_6,SR_WHI.1923-08-31,SR_WHI.1923-09-30,6,-0.28213,0.99058,0.0,19.5
SR_WHI.1923-09-30_FINAL_0,SR_WHI.1923-09-30,FINAL,0,0.0,1.0,48.7501,240.001
INFLOW.1922-10-31_SR_WHI.1922-10-31_0,INFLOW.1922-10-31,SR_WHI.1922-10-31,0,0.0,1.0,3.074,3.074
INFLOW.1922-11-30_SR_WHI.1922-11-30_0,INFLOW.1922-11-30,SR_WHI.1922-11-30,0,0.0,1.0,7.241,7.241
INFLOW.1922-12-31_SR_WHI.1922-12-31_0,INFLOW.1922-12-31,SR_WHI.1922-12-31,0,0.0,1.0,41.357,41.357
INFLOW.1923-01-31_SR_WHI.1923-01-31_0,INFLOW.1923-01-31,SR_WHI.1923-01-31,0,0.0,1.0,40.361,40.361
INFLOW.1923-02-28_SR_WHI.1923-02-28_0,INFLOW.1923-02-28,SR_WHI.1923-02-28,0,0.0,1.0,21.369,21.369
INFLOW.1923-03-31_SR_WHI.1923-03-31_0,INFLOW.1923-03-31,SR_WHI.1923-03-31,0,0.0,1.0,13.66,13.66
INFLOW.1923-04-30_SR_WHI.1923-04-30_0,INFLOW.1923-04-30,SR_WHI.1923-04-30,0,0.0,1.0,50.695,50.695
INFLOW.1923-05-31_SR_WHI.1923-05-31_0,INFLOW.1923-05-31,SR_WHI.1923-05-31,0,0.0,1.0,15.089,15.089
INFLOW.1923-06-30_SR_WHI.1923-06-30_0,INFLOW.1923-06-30,SR_WHI.1923-06-30,0,0.0,1.0,7.568,7.568
INFLOW.1923-07-31_SR_WHI.1923-07-31_0,INFLOW.1923-07-31,SR_WHI.1923-07-31,0,0.0,1.0,3.074,3.074
INFLOW.1923-08-31_SR_WHI.1923-08-31_0,INFLOW.1923-08-31,SR_WHI.1923-08-31,0,0.0,1.0,3.074,3.074
INFLOW.1923-09-30_SR_WHI.1923-09-30_0,INFLOW.1923-09-30,SR_WHI.1923-09-30,0,0.0,1.0,2.975,2.975
SR_WHI.1922-10-31_D5.1922-10-31_0,SR_WHI.1922-10-31,D5.1922-10-31,0,-1.40596,1.0,0.0,81.164
SR_WHI.1922-10-31_D5.1922-10-31_1,SR_WHI.1922-10-31,D5.1922-10-31,1,-1.34282,1.0,0.0,40.582
SR_WHI.1922-10-31_D5.1922-10-31_2,SR_WHI.1922-10-31,D5.1922-10-31,2,-1.33633,1.0,0.0,40.582
SR_WHI.1922-10-31_D5.1922-10-31_3,SR_WHI.1922-10-31,D5.1922-10-31,3,-1.32926,1.0,0.0,40.582
SR_WHI.1922-10-31_D5.1922-10-31_4,SR_WHI.1922-10-31,D5.1922-10-31,4,-1.32141,1.0,0.0,30.811
SR_WHI.1922-10-31_D5.1922-10-31_5,SR_WHI.1922-10-31,D5.1922-10-31,5,-1.31094,1.0,0.0,0.0
SR_WHI.1922-11-30_D5.1922-11-30_0,SR_WHI.1922-11-30,D5.1922-11-30,0,-1.42127,1.0,0.0,78.637
SR_WHI.1922-11-30_D5.1922-11-30_1,SR_WHI.1922-11-30,D5.1922-11-30,1,-1.35652,1.0,0.0,39.318
SR_WHI.1922-11-30_D5.1922-11-30_2,SR_WHI.1922-11-30,D5.1922-11-30,2,-1.35183,1.0,0.0,39.318
SR_WHI.1922-11-30_D5.1922-11-30_3,SR_WHI.1922-11-30,D5.1922-11-30,3,-1.34755,1.0,0.0,39.318
SR_WHI.1922-11-30_D5.1922-11-30_4,SR_WHI.1922-11-30,D5.1922-11-30,4,-1.3418,1.0,0.0,29.589
SR_WHI.1922-11-30_D5.1922-11-30_5,SR_WHI.1922-11-30,D5.1922-11-30,5,-1.33101,1.0,0.0,0.0
SR_WHI.1922-12-31_D5.1922-12-31_0,SR_WHI.1922-12-31,D5.1922-12-31,0,-1.42715,1.0,0.0,81.164
SR_WHI.1922-12-31_D5.1922-12-31_1,SR_WHI.1922-12-31,D5.1922-12-31,1,-1.41917,1.0,0.0,40.582
SR_WHI.1922-12-31_D5.1922-12-31_2,SR_WHI.1922-12-31,D5.1922-12-31,2,-1.41138,1.0,0.0,40.582
SR_WHI.1922-12-31_D5.1922-12-31_3,SR_WHI.1922-12-31,D5.1922-12-31,3,-1.40275,1.0,0.0,40.582
SR_WHI.1922-12-31_D5.1922-12-31_4,SR_WHI.1922-12-31,D5.1922-12-31,4,-1.3867,1.0,0.0,30.811
SR_WHI.1922-12-31_D5.1922-12-31_5,SR_WHI.1922-12-31,D5.1922-12-31,5,-1.36998,1.0,0.0,0.0
SR_WHI.1923-01-31_D5.1923-01-31_0,SR_WHI.1923-01-31,D5.1923-01-31,0,-1.43701,1.0,0.0,81.164
SR_WHI.1923-01-31_D5.1923-01-31_1,SR_WHI.1923-01-31,D5.1923-01-31,1,-1.36049,1.0,0.0,40.582
SR_WHI.1923-01-31_D5.1923-01-31_2,SR_WHI.1923-01-31,D5.1923-01-31,2,-1.32053,1.0,0.0,40.582
SR_WHI.1923-01-31_D5.1923-01-31_3,SR_WHI.1923-01-31,D5.1923-01-31,3,-1.27821,1.0,0.0,40.582
SR_WHI.1923-01-31_D5.1923-01-31_4,SR_WHI.1923-01-31,D5.1923-01-31,4,-1.22024,1.0,0.0,30.811
SR_WHI.1923-01-31_D5.1923-01-31_5,SR_WHI.1923-01-31,D5.1923-01-31,5,-1.1113,1.0,0.0,0.0
SR_WHI.1923-02-28_D5.1923-02-28_0,SR_WHI.1923-02-28,D5.1923-02-28,0,-1.43895,1.0,0.0,73.309
SR_WHI.1923-02-28_D5.1923-02-28_1,SR_WHI.1923-02-28,D5.1923-02-28,1,-1.31933,1.0,0.0,36.655
SR_WHI.1923-02-28_D5.1923-02-28_2,SR_WHI.1923-02-28,D5.1923-02-28,2,-1.28012,1.0,0.0,36.655
SR_WHI.1923-02-28_D5.1923-02-28_3,SR_WHI.1923-02-28,D5.1923-02-28,3,-1.24315,1.0,0.0,36.655
SR_WHI.1923-02-28_D5.1923-02-28_4,SR_WHI.1923-02-28,D5.1923-02-28,4,-1.19804,1.0,0.0,27.827
SR_WHI.1923-02-28_D5.1923-02-28_5,SR_WHI.1923-02-28,D5.1923-02-28,5,-1.12637,1.0,0.0,0.0
SR_WHI.1923-03-31_D5.1923-03-31_0,SR_WHI.1923-03-31,D5.1923-03-31,0,-1.62199,1.0,0.0,81.164
SR_WHI.1923-03-31_D5.1923-03-31_1,SR_WHI.1923-03-31,D5.1923-03-31,1,-1.23818,1.0,0.0,40.582
SR_WHI.1923-03-31_D5.1923-03-31_2,SR_WHI.1923-03-31,D5.1923-03-31,2,-1.10879,1.0,0.0,40.582
SR_WHI.1923-03-31_D5.1923-03-31_3,SR_WHI.1923-03-31,D5.1923-03-31,3,-0.99662,1.0,0.0,40.582
SR_WHI.1923-03-31_D5.1923-03-31_4,SR_WHI.1923-03-31,D5.1923-03-31,4,-0.91797,1.0,0.0,30.811
SR_WHI.1923-03-31_D5.1923-03-31_5,SR_WHI.1923-03-31,D5.1923-03-31,5,-0.79932,1.0,0.0,0.0
SR_WHI.1923-04-30_D5.1923-04-30_0,SR_WHI.1923-04-30,D5.1923-04-30,0,-1.27368,1.0,0.0,78.637
SR_WHI.1923-04-30_D5.1923-04-30_1,SR_WHI.1923-04-30,D5.1923-04-30,1,-1.16281,1.0,0.0,39.318
