date,GW_01,GW_02,GW_03,GW_04,GW_05,GW_06,GW_07,GW_08,GW_09,GW_10,GW_11,GW_12,GW_13,GW_14,GW_15,GW_16,GW_17,GW_18,GW_19,GW_20,GW_21,GW_AV,GW_CH,GW_EW,GW_HF,GW_IM,GW_MJ,GW_MWD,GW_OW,GW_SBV,GW_SC,GW_SD,GW_VC
1968-10-31,30004.04628613453,154551.17902092903,151191.65110999986,120213.677816661,116128.61277053872,149955.36239869188,52590.78701970618,191616.78833388255,200123.00292946765,193412.96074263257,97792.0497965797,95877.35376000326,243383.8116245716,324008.96113760147,399459.9505710454,87183.92709334286,83957.69734446351,282708.78459832026,157317.4026761639,164295.00570061643,412773.69492146006,20254.91225559594,3032.6956999999934,7189.284658616259,250.0,1000.0,2858.2262824157388,1376.4269999999997,28122.529590301685,2847.3553859149,291.6579863028286,7023.832383118001,569.7185000000004
1968-11-30,30013.68093613453,154568.99586092905,151237.21481999985,120262.891126661,116153.78147053871,149971.3905186919,52625.69762970618,191693.57279388257,200147.89671946765,193436.60458263257,97828.60067657968,95916.18723000326,243487.7735245716,324037.78038732504,399550.3093110454,87200.89895334287,83961.5866444635,282752.08881832025,157328.7067161639,164325.1018606164,412778.2935814601,20259.03961559594,3026.9379999999933,7200.707018616258,250.0,1000.0,2856.914282415739,1357.2799999999995,28127.109590301687,2862.1733859149003,326.4105595368634,7036.141183118001,585.6000000000004
1968-12-31,30040.366386134527,154713.90710092903,151356.80586999984,120434.667576661,116220.70029053872,150056.1687586919,52682.216919706174,191796.52056388257,200193.5257994677,193470.33362263255,97879.91295657968,95964.27885000326,243608.3716245716,324071.07091853925,399660.25945104536,87221.63095334287,83971.07024446351,282814.3475983202,157340.8735061639,164357.7868606164,412785.0890814601,20261.32561559594,3026.4559999999933,7210.807698616258,250.0,1000.0,2855.399282415739,1327.8589999999997,28146.539590301687,2874.8923859149004,364.13997802892345,7045.871183118001,594.0790000000004
1969-01-31,30153.770236134525,154993.88375092903,151529.73030999984,120788.164256661,116503.60303053872,150296.0177986919,52840.49377970617,192087.82939388257,200339.69347946768,193673.47914263257,98028.72863657968,96133.74412000326,244109.7831445716,324215.8616096844,400105.9566910454,87305.12481334287,84037.4763444635,283144.7131583202,157399.8586461639,164412.6096606164,412864.175504018,20278.78369559594,3034.836999999993,7221.4154986162575,250.0,1000.0,2866.897282415739,1303.7359999999994,28150.589590301686,2886.0013859149003,437.0519780289235,7057.129183118001,595.3920000000004
1969-02-28,30181.150236134526,155087.16177092903,151649.35204999984,120881.778416661,116651.81414053871,150494.2966386919,52941.12358970617,192337.61921388257,200408.5245494677,193958.57942263255,98229.21358441238,96338.21628912572,244736.5156045716,324391.9497408196,400521.1787010454,87386.62377334287,84119.4361444635,283602.4151183202,157466.2633061639,164485.6347406164,413030.8095689426,20300.17997559594,3029.285499999993,7227.462818616257,250.0,1000.0,2914.917782415739,1278.8089999999995,28169.88959030169,2897.3543859149004,520.0799780289235,7061.455983118,592.1960000000005
1969-03-31,30132.38758613453,155027.38498092903,151679.16793999984,120603.576206661,116637.00194053871,150507.58319869192,52932.010699706174,192466.08592388255,200361.6454094677,194145.9084626326,98355.24611505878,96415.87100367733,245193.7354845716,324502.36502761126,400816.6330110454,87441.31685334287,84214.0603444635,284034.1726383202,157495.4921561639,164551.1917806164,413113.724247164,20303.37737559594,3030.329699999993,7234.626898616257,250.0,1000.0,2937.192782415739,1254.5199999999995,28176.259590301685,2909.4513859149006,551.4379780289235,7067.9429831180005,587.0685000000004
1969-04-30,30149.92098613453,155061.633270929,151781.58221999984,120694.62953666098,116709.32998053872,150567.79119869194,53009.263109706175,192627.0906286695,200387.53233946767,194294.01726263255,98428.97567505878,96433.23517367733,245622.0460045716,324574.91162356385,401085.5787410454,87503.42997334286,84460.26024446351,284368.3142783202,157514.7065561639,164612.99914061642,413217.921577164,20310.65501559594,3022.164599999993,7250.522618616257,250.0,1000.0,2953.152282415739,1254.5979999999995,28174.489590301684,2908.423213191523,589.5809780289235,7076.358783118,572.7255000000005
1969-05-31,30147.04008613453,155087.178580929,151845.97934999983,120723.353116661,116847.40381053872,150603.05091046018,53068.44498970617,192719.37497744057,200461.3367894677,194434.82062263257,98472.11619505878,96430.49543367732,246025.6352045716,324626.15289774945,401525.5433510454,87561.51967334286,84708.1354444635,284613.30527832016,157529.8946061639,164672.96462061643,413324.785437164,20318.85321559594,3029.7503999999926,7264.000938616257,250.0,1000.0,2971.814282415739,1265.3439999999996,28168.899590301684,2906.125213191523,586.1216321622718,7062.2833831180005,551.7010000000005
1969-06-30,30132.065986134527,155030.206960929,151903.82915999985,120728.764826661,116856.46685053872,150586.01820268636,53095.38164849405,192710.18403751985,200459.9350494677,194547.6936907,98489.94699505878,96430.13855367732,246353.7764045716,324657.1968820239,402018.3155410454,87602.16671334286,84845.3203444635,284709.88105832017,157546.1276561639,164730.59858061644,413341.5973045512,20320.20503432983,3030.0464999999926,7230.426378616257,250.0,1000.0,2977.6347824157388,1292.4079999999997,28177.099590301685,2910.1642131915232,564.5066321622718,7062.684311808327,539.3280000000004
1969-07-31,30145.47988613453,155029.213050929,151975.63537999985,120809.602826661,116866.1853305387,150576.168526043,53109.395608191015,192610.4220595813,200459.10546946767,194549.51813849827,98434.48811505878,96325.15834367732,246466.9957129101,324682.0178795856,402507.9158710454,87600.88577334286,84935.7373444635,284778.5423183202,157564.9219761639,164788.70838061644,413348.89901337546,20330.40759432983,3030.267599999993,7203.663498616257,250.0,1000.0,2971.6537824157385,1326.2639999999997,28160.559590301684,2916.632213191523,543.0896321622718,7055.027214868495,535.3725000000004
