date,PMP_Banks-D800,PMP_Tracy-D701
1929-04-30,228.46,140.76401365163338
1929-05-31,184.0034500622923,63.958882903332366
1929-06-30,157.4249579664685,84.40757087762685
1929-07-31,94.43,49.50729999999999
1929-08-31,94.43,115.60796306685364
1929-09-30,182.76,147.84749999999997
1929-10-31,241.24260696709285,0.703
1929-11-30,204.0212846236559,104.71521537634408
1929-12-31,188.86,151.93914999999993
1930-01-31,236.07,167.65469999999996
1930-02-28,213.23,124.72965000000002
1930-03-31,316.41501021505394,226.55213978494615
1930-04-30,228.46,137.60134698496668
1930-05-31,236.07,205.90097430967123
1930-06-30,274.15,178.061
1930-07-31,141.64,178.61307398390412
1930-08-31,168.97974767873455,258.25
1930-09-30,228.46,155.45650000000006
1930-10-31,240.92002632193157,14.561245698924733
1930-11-30,163.71264926812282,75.82890073187718
1930-12-31,177.25600345983554,139.28614654016445
1931-01-31,188.86,122.06870000000004
1931-02-28,213.23,61.98164999999997
1931-03-31,236.07,70.80406888945892
1931-04-30,228.46,111.2848201032461
1931-05-31,283.28000000000003,239.4390000000001
1931-06-30,274.15,236.042
1931-07-31,188.86,258.25
1931-08-31,249.55212968109728,258.25
1931-09-30,182.76,126.75750000000004
1931-10-31,240.92002632193157,0.703
1931-11-30,180.00957962102555,59.996970378974446
1931-12-31,188.86,247.28315
1932-01-31,228.87725312848627,172.45607959401897
1932-02-29,355.96265000000005,233.25
1932-03-31,283.28000000000003,134.02243619800566
1932-04-30,274.15,229.04070000000013
1932-05-31,283.28000000000003,239.4390000000001
1932-06-30,274.15,236.042
1932-07-31,141.64,115.10849999999996
1932-08-31,267.805,258.25
1932-09-30,223.1571021505377,137.69139784946236
1932-10-31,330.5,54.267499999999984
1932-11-30,225.63750417009197,20.83704582990805
1932-12-31,188.86,172.15314999999998
1933-01-31,188.86,141.8437
1933-02-28,213.23,76.20065000000002
1933-03-31,283.28000000000003,145.3285251806418
1933-04-30,228.46,169.40570000000008
1933-05-31,283.28000000000003,239.4390000000001
1933-06-30,274.15,236.042
1933-07-31,141.64,63.669546677480255
1933-08-31,267.805,258.25
1933-09-30,182.76,129.62150000000003
1933-10-31,240.92002632193157,0.703
